postal_code,country,state,area_description,territory_description
01219,USA,MA,New England,Northeast
01220,USA,MA,New England,Northeast
01221,USA,MA,New England,Northeast
01222,USA,MA,New England,Northeast
01223,USA,MA,New England,Northeast
01224,USA,MA,New England,Northeast
01225,USA,MA,New England,Northeast
01226,USA,MA,New England,Northeast
01227,USA,MA,New England,Northeast
01228,USA,MA,New England,Northeast
01229,USA,MA,New England,Northeast
01230,USA,MA,New England,Northeast
01231,USA,MA,New England,Northeast
01232,USA,MA,New England,Northeast
01233,USA,MA,New England,Northeast
01234,USA,MA,New England,Northeast
01235,USA,MA,New England,Northeast
01236,USA,MA,New England,Northeast
01237,USA,MA,New England,Northeast
01238,USA,MA,New England,Northeast
01239,USA,MA,New England,Northeast
01240,USA,MA,New England,Northeast
01242,USA,MA,New England,Northeast
01243,USA,MA,New England,Northeast
01244,USA,MA,New England,Northeast
01245,USA,MA,New England,Northeast
01247,USA,MA,New England,Northeast
01248,USA,MA,New England,Northeast
01249,USA,MA,New England,Northeast
01252,USA,MA,New England,Northeast
01253,USA,MA,New England,Northeast
01254,USA,MA,New England,Northeast
01255,USA,MA,New England,Northeast
01256,USA,MA,New England,Northeast
01257,USA,MA,New England,Northeast
01258,USA,MA,New England,Northeast
01259,USA,MA,New England,Northeast
01260,USA,MA,New England,Northeast
01262,USA,MA,New England,Northeast
01263,USA,MA,New England,Northeast
01264,USA,MA,New England,Northeast
01266,USA,MA,New England,Northeast
01267,USA,MA,New England,Northeast
01268,USA,MA,New England,Northeast
01269,USA,MA,New England,Northeast
01270,USA,MA,New England,Northeast
